host,lat,lon
Link_Acailandia,-5.040777,-47.556892
Link_Alagoinhas,-12.147436,-38.410351
Link_Bauru,-22.344551,-49.046907
Link_Belo_Oriente,-19.313871,-42.397659
Link_Butia,-30.131448,-51.978244
Link_Cacador,-26.778386,-51.019894
Link_Curvelo,-18.776641,-44.439035
Link_Eunapolis,-16.375107,-39.588121
Link_Joao_Pinheiro,-18.149146,-45.123513
Link_Paysandu_UY,-32.322386,-58.049191
Link_Ribas_do_Rio_Pardo,-20.456731,-53.748414
Link_Taubate,-23.096913,-45.608449
Link_Tres_Lagoas,-20.804246,-51.721517
Link_Trevo,-17.884499,-39.842423
